id,file,Smell,Details,Smell_num
934,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\Explorer\Files\Submenu.tsx,Overly Flexible Props,Lines 105-142,5
943,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\GeneratePage\components\GeneratePageForm\GeneratePageForm.tsx,Overly Flexible Props,Lines 181-207,5
949,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\gitSync\components\BranchList.tsx,Overly Flexible Props,Lines 106-157,5
951,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\gitSync\components\BranchListItem.tsx,Overly Flexible Props,Lines 25-104,5
954,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\gitSync\components\PushFailedWarning.tsx,Overly Flexible Props,Lines 12-24,5
957,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\gitSync\components\RemoteBranchListItem.tsx,Overly Flexible Props,Lines 19-61,5
987,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\GlobalHotKeys\index.tsx,Overly Flexible Props,Lines 10-25,5
1016,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\Editor\PropertyPane\PropertyPaneConnections.tsx,Overly Flexible Props,Lines 149-214,5
1110,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\UserAuth\requiresAuthHOC.tsx,Overly Flexible Props,Lines 12-22,5
1127,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\workspace\WorkspaceInviteUsersForm.tsx,Overly Flexible Props,Lines 99-237,5
1138,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\PluginActionEditor\components\PluginActionForm\components\CommonEditorForm\components\DatasourceConfig.tsx,Overly Flexible Props,Lines 117-183,5
1139,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\PluginActionEditor\components\PluginActionForm\components\CommonEditorForm\components\DatasourceConfig.tsx,Overly Flexible Props,Lines 188-213,5
1200,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\PluginActionEditor\components\PluginActionResponse\components\Table.tsx,Overly Flexible Props,Lines 191-226,5
1201,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\PluginActionEditor\components\PluginActionResponse\components\Table.tsx,Overly Flexible Props,Lines 336-346,5
1395,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\ExternalWidget\component\index.tsx,Overly Flexible Props,Lines 18-116,5
1470,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\JSONFormWidget\fields\useRegisterFieldValidity.test.tsx,Overly Flexible Props,Lines 252-267,5
1471,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\JSONFormWidget\fields\useRegisterFieldValidity.test.tsx,Overly Flexible Props,Lines 325-340,5
1481,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\ListWidget\component\ListPagination.tsx,Overly Flexible Props,Lines 427-475,5
1557,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\SelectWidget\component\SelectButton.test.tsx,Overly Flexible Props,Lines 18-20,5
1579,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\Table.tsx,Overly Flexible Props,Lines 94-96,5
1580,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\Table.tsx,Overly Flexible Props,Lines 100-102,5
1581,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\Table.tsx,Overly Flexible Props,Lines 322-360,5
1582,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\Table.tsx,Overly Flexible Props,Lines 340-356,5
1604,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\TableUtilities.tsx,Overly Flexible Props,Lines 560-577,5
1605,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidget\component\TableUtilities.tsx,Overly Flexible Props,Lines 602-618,5
1615,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidgetV2\component\cellComponents\EmptyCell.tsx,Overly Flexible Props,Lines 124-186,5
1629,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\TableWidgetV2\component\header\TableColumnHeader.tsx,Overly Flexible Props,Lines 82-110,5
1691,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\wds\WDSTableWidget\component\cellComponents\EmptyCell.tsx,Overly Flexible Props,Lines 129-193,5
1704,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\wds\WDSTableWidget\component\TableHeader\TableColumnHeader.tsx,Overly Flexible Props,Lines 62-135,5
1705,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\widgets\wds\WDSTableWidget\component\TableHeader\TableColumnHeader.tsx,Overly Flexible Props,Lines 93-132,5
